# 1629 FLIRT/identified names (VC6/MFC42/std)
0x0042C1C3 ??0CPrintDialog@@QAE@HKPAVCWnd@@@Z
0x0042C2B0 ?AttachOnSetup@CPrintDialog@@MAEPAV1@XZ
0x0042C300 ?OnPrintSetup@CPrintDialog@@IAEXXZ
0x0042C330 ?DoModal@CPrintDialog@@UAEHXZ
0x0042C35E ?CreatePrinterDC@CPrintDialog@@QAEPAUHDC__@@XZ
0x0042C37D ?GetDriverName@CPrintDialog@@QBE?AVCString@@XZ
0x0042C3BB ?GetDeviceName@CPrintDialog@@QBE?AVCString@@XZ
0x0042C3FA ?GetPortName@CPrintDialog@@QBE?AVCString@@XZ
0x0042C439 ?GetDefaults@CPrintDialog@@QAEHXZ
0x0042C449 ?AfxCreateDC@@YGPAUHDC__@@PAX0@Z
0x0042C664 ?Serialize@CObArray@@UAEXAAVCArchive@@@Z
0x0042C6D4 ??0CObList@@QAE@H@Z
0x0042C6F7 ??_GCObList@@UAEPAXI@Z
0x0042C733 ??1CObList@@UAE@XZ
0x0042C821 ?Serialize@CObList@@UAEXAAVCArchive@@@Z
0x0042C87D ??0CByteArray@@QAE@XZ
0x0042C894 ??_GCByteArray@@UAEPAXI@Z
0x0042C8B0 ??1CByteArray@@UAE@XZ
0x0042C8E7 ?SetSize@CByteArray@@QAEXHH@Z
0x0042C9E8 ?Serialize@CByteArray@@UAEXAAVCArchive@@@Z
0x0042CA35 ??0CPtrList@@QAE@H@Z
0x0042CA58 ??_GCPtrList@@UAEPAXI@Z
0x0042CA94 ??1CPtrList@@UAE@XZ
0x0042CBDC ?Create@CPlex@@SGPAU1@AAPAU1@II@Z
0x0042CBFC ?FreeDataChain@CPlex@@QAEXXZ
0x0042CC12 ??0CPtrArray@@QAE@XZ
0x0042CC29 ??_GCPtrArray@@UAEPAXI@Z
0x0042CC45 ??1CPtrArray@@UAE@XZ
0x0042CE92 ??0CMapPtrToPtr@@QAE@H@Z
0x0042CEB9 ??_GCMapPtrToPtr@@UAEPAXI@Z
0x0042CF46 ??1CMapPtrToPtr@@UAE@XZ
0x0042CF79 ?NewAssoc@CMapPtrToPtr@@IAEPAUCAssoc@1@XZ
0x0042D00E ?GetValueAt@CMapPtrToPtr@@QBEPAXPAX@Z
0x0042D0D3 ?GetNextAssoc@CMapPtrToPtr@@QBEXAAPAU__POSITION@@AAPAX1@Z
0x0042D145 ??0CMapStringToPtr@@QAE@H@Z
0x0042D16C ??_GCMapStringToPtr@@UAEPAXI@Z
0x0042D220 ??1CMapStringToPtr@@UAE@XZ
0x0042D3BB ?AfxSetNewHandler@@YGP6AHI@ZP6AHI@Z@Z
0x0042D3CF ??2@YAPAXI@Z
0x0042D40B ??3@YAXPAX@Z
0x0042D416 ?AfxDlgProc@@YGHPAUHWND__@@IIJ@Z
0x0042D456 ?PreTranslateMessage@CDialog@@UAEHPAUtagMSG@@@Z
0x0042D574 ??0CDialog@@QAE@XZ
0x0042D596 ??_GCDialog@@UAEPAXI@Z_1
0x0042D5B2 ??1CDialog@@UAE@XZ
0x0042D5F0 ?Create@CDialog@@QAEHPBDPAVCWnd@@@Z
0x0042D640 ?CreateIndirect@CDialog@@IAEHPAXPAVCWnd@@PAUHINSTANCE__@@@Z
0x0042D663 ?CreateIndirect@CDialog@@IAEHPBUDLGTEMPLATE@@PAVCWnd@@PAXPAUHINSTANCE__@@@Z
0x0042D68E ?CreateDlg@CWnd@@IAEHPBDPAV1@@Z
0x0042D6D2 ?CreateDlgIndirect@CWnd@@IAEHPBUDLGTEMPLATE@@PAV1@PAUHINSTANCE__@@@Z
0x0042D8F5 ?SetOccDialogInfo@CDialog@@MAEHPAU_AFX_OCC_DIALOG_INFO@@@Z
0x0042D902 ??0CDialog@@QAE@IPAVCWnd@@@Z
0x0042D93B ?PreModal@CDialog@@IAEPAUHWND__@@XZ
0x0042D972 ?PostModal@CDialog@@IAEXXZ
0x0042D9B0 ?DoModal@CDialog@@UAEHXZ
0x0042DB15 ?EndDialog@CDialog@@QAEXH@Z
0x0042DB38 ?HandleSetFont@CDialog@@IAEJIJ@Z
0x0042DB5D ?HandleInitDialog@CDialog@@IAEJIJ@Z
0x0042DBE5 ?AfxHelpEnabled@@YGHXZ
0x0042DC3C ?OnInitDialog@CDialog@@UAEHXZ
0x0042DCA1 ?OnOK@CDialog@@MAEXXZ
0x0042DCBA ?OnCancel@CDialog@@MAEXXZ
0x0042DCC2 ?CheckAutoCenter@CDialog@@UAEHXZ
0x0042DD3E ?OnCtlColor@CDialog@@IAEPAUHBRUSH__@@PAVCDC@@PAVCWnd@@I@Z
0x0042DD52 ?OnCommandHelp@CDialog@@IAEJIJ@Z
0x0042DD8C ?OnHelpHitTest@CDialog@@IAEJIJ@Z
0x0042DEAD ??0CWnd@@QAE@XZ
0x0042DED7 ??_GCWnd@@UAEPAXI@Z
0x0042DEF3 ??0CWnd@@AAE@PAUHWND__@@@Z
0x0042DF27 ?ModifyStyle@CWnd@@SGHPAUHWND__@@KKI@Z
0x0042DF41 ?_AfxModifyStyle@@YGHPAUHWND__@@HKKI@Z
0x0042DF90 ?ModifyStyleEx@CWnd@@SGHPAUHWND__@@KKI@Z
0x0042DFAA ?AfxCallWndProc@@YGJPAVCWnd@@PAUHWND__@@IIJ@Z
0x0042E09A ?_AfxPreInitDialog@@YGXPAVCWnd@@PAUtagRECT@@PAK@Z
0x0042E0BD ?_AfxPostInitDialog@@YGXPAVCWnd@@ABUtagRECT@@K@Z
0x0042E136 ?GetCurrentMessage@CWnd@@KGPBUtagMSG@@XZ
0x0042E16B ?Default@CWnd@@IAEJXZ
0x0042E192 ?DeleteTempMap@CWnd@@SGXXZ
0x0042E1A6 ?afxMapHWND@@YAPAVCHandleMap@@H@Z
0x0042E216 ?FromHandle@CWnd@@SGPAV1@PAUHWND__@@@Z
0x0042E23E ?FromHandlePermanent@CWnd@@SGPAV1@PAUHWND__@@@Z
0x0042E25A ?Attach@CWnd@@QAEHPAUHWND__@@@Z
0x0042E293 ?Detach@CWnd@@QAEPAUHWND__@@XZ
0x0042E2C2 ?AfxWndProc@@YGJPAUHWND__@@IIJ@Z
0x0042E2F1 ?AfxGetAfxWndProc@@YGP6GJPAUHWND__@@IIJ@ZXZ
0x0042E2F7 ?_AfxActivationWndProc@@YGJPAUHWND__@@IIJ@Z
0x0042E444 ?_AfxHandleActivate@@YGXPAVCWnd@@I0@Z
0x0042E4A5 ?_AfxHandleSetCursor@@YGHPAVCWnd@@II@Z
0x0042E51D ?_AfxGrayBackgroundWndProc@@YGJPAUHWND__@@IIJ@Z
0x0042E599 ?_AfxCbtFilterHook@@YGJHIJ@Z
0x0042E727 ?AfxHookWindowCreate@@YGXPAVCWnd@@@Z
0x0042E773 ?AfxUnhookWindowCreate@@YGHXZ
0x0042E7B5 ?CreateEx@CWnd@@QAEHKPBD0KABUtagRECT@@PAV1@IPAX@Z
0x0042E7FC ?CreateEx@CWnd@@QAEHKPBD0KHHHHPAUHWND__@@PAUHMENU__@@PAX@Z
0x0042E8F2 ?Create@CWnd@@UAEHPBD0KABUtagRECT@@PAV1@IPAUCCreateContext@@@Z
0x0042E93E ??1CWnd@@UAE@XZ
0x0042E9BA ?OnDestroy@CWnd@@IAEXXZ
0x0042E9D8 ?OnNcDestroy@CWnd@@IAEXXZ
0x0042EAF0 ?OnFinalRelease@CWnd@@UAEXXZ
0x0042EB01 ?DestroyWindow@CWnd@@UAEHXZ
0x0042EB4E ?DefWindowProcA@CWnd@@MAEJIIJ@Z
0x0042EB99 ?PreTranslateMessage@CWnd@@UAEHPAUtagMSG@@@Z
0x0042EBB8 ?CancelToolTips@CWnd@@SGXH@Z
0x0042EC15 ?OnToolHitTest@CWnd@@UBEHVCPoint@@PAUtagTOOLINFOA@@@Z
0x0042EC86 ?GetWindowTextA@CWnd@@QBEXAAVCString@@@Z
0x0042ECCE ?GetWindowPlacement@CWnd@@QBEHPAUtagWINDOWPLACEMENT@@@Z
0x0042ECE5 ?OnDrawItem@CWnd@@IAEXHPAUtagDRAWITEMSTRUCT@@@Z
0x0042ED22 ?OnCompareItem@CWnd@@IAEHHPAUtagCOMPAREITEMSTRUCT@@@Z
0x0042ED4C ?OnDeleteItem@CWnd@@IAEXHPAUtagDELETEITEMSTRUCT@@@Z
0x0042EDC2 ?TrackPopupMenu@CMenu@@QAEHIHHPAVCWnd@@PBUtagRECT@@@Z
0x0042EE16 ?OnMeasureItem@CWnd@@IAEXHPAUtagMEASUREITEMSTRUCT@@@Z
0x0042EE8F ?FindPopupMenuFromID@@YAPAVCMenu@@PAV1@I@Z
0x0042EEF2 ?AfxRegisterClass@@YGHPAUtagWNDCLASSA@@@Z
0x0042EF9B ?AfxRegisterWndClass@@YGPBDIPAUHICON__@@PAUHBRUSH__@@0@Z
0x0042F04F ?OnNTCtlColor@CWnd@@IAEJIJ@Z
0x0042F08B ?WinHelpA@CWnd@@UAEXKI@Z
0x0042F1B1 ?WindowProc@CWnd@@MAEJIIJ@Z
0x0042F765 ??0CTestCmdUI@@QAE@XZ
0x0042F77E ?Enable@CTestCmdUI@@UAEXH@Z
0x0042F798 ?OnCommand@CWnd@@MAEHIJ@Z
0x0042F824 ?OnNotify@CWnd@@MAEHIJPAJ@Z
0x0042F89E ?GetParentFrame@CWnd@@QBEPAVCFrameWnd@@XZ
0x0042F8E2 ?AfxGetParentOwner@@YGPAUHWND__@@PAU1@@Z
0x0042F927 ?GetTopLevelParent@CWnd@@QBEPAV1@XZ
0x0042F953 ?GetParentOwner@CWnd@@QBEPAV1@XZ
0x0042F99A ?IsTopParentActive@CWnd@@QBEHXZ
0x0042F9CE ?ActivateTopParent@CWnd@@QAEXXZ
0x0042FA0B ?GetTopLevelFrame@CWnd@@QBEPAVCFrameWnd@@XZ
0x0042FA4F ?GetSafeOwner@CWnd@@SGPAV1@PAV1@PAPAUHWND__@@@Z
0x0042FAEF ?GetDescendantWindow@CWnd@@SGPAV1@PAUHWND__@@HH@Z
0x0042FB68 ?SendMessageToDescendants@CWnd@@SGXPAUHWND__@@IIJHH@Z
0x0042FBEA ?SetScrollPos@CWnd@@QAEHHHH@Z
0x0042FC1A ?GetScrollPos@CWnd@@QBEHH@Z
0x0042FC42 ?SetScrollRange@CWnd@@QAEXHHHH@Z
0x0042FC75 ?GetScrollRange@CWnd@@QBEXHPAH0@Z
0x0042FCA5 ?EnableScrollBarCtrl@CWnd@@QAEXHH@Z
0x0042FCE8 ?SetScrollInfo@CWnd@@QAEHHPAUtagSCROLLINFO@@H@Z
0x0042FD35 ?GetScrollInfo@CWnd@@QAEHHPAUtagSCROLLINFO@@I@Z
0x0042FD82 ?GetScrollLimit@CWnd@@QAEHH@Z
0x0042FDC6 ?ScrollWindow@CWnd@@QAEXHHPBUtagRECT@@0@Z
0x0042FE83 ?RepositionBars@CWnd@@QAEXIIIIPAUtagRECT@@PBU2@H@Z
0x0042FFBD ?AfxRepositionWindow@@YGXPAUAFX_SIZEPARENTPARAMS@@PAUHWND__@@PBUtagRECT@@@Z
0x00430057 ?CalcWindowRect@CWnd@@UAEXPAUtagRECT@@I@Z
0x00430082 ?HandleFloatingSysCommand@CWnd@@QAEHIJ@Z
0x0043013C ?WalkPreTranslateTree@CWnd@@SGHPAUHWND__@@PAUtagMSG@@@Z
0x0043017E ?SendChildNotifyLastMsg@CWnd@@QAEHPAJ@Z
0x004301AB ?ReflectLastMsg@CWnd@@KGHPAUHWND__@@PAJ@Z
0x0043024F ?OnChildNotify@CWnd@@MAEHIIJPAJ@Z
0x004302AA ?ReflectChildNotify@CWnd@@IAEHIIJPAJ@Z
0x004303A0 ?OnParentNotify@CWnd@@IAEXIJ@Z
0x004303CD ?OnActivateTopLevel@CWnd@@IAEJIJ@Z
0x004303EF ?OnSysColorChange@CWnd@@IAEXXZ
0x004304CD ?OnDevModeChange@CWnd@@IAEXPAD@Z
0x00430522 ?OnHelpInfo@CWnd@@IAEHPAUtagHELPINFO@@@Z
0x00430586 ?OnDisplayChange@CWnd@@IAEJIJ@Z
0x004305D3 ?OnDragList@CWnd@@IAEJIJ@Z
0x0043063F ?OnEnterIdle@CWnd@@IAEXIPAV1@@Z
0x00430689 ?OnCtlColor@CWnd@@IAEPAUHBRUSH__@@PAVCDC@@PAV1@I@Z
0x004306B0 ?OnGrayCtlColor@CWnd@@QAEPAUHBRUSH__@@PAVCDC@@PAV1@I@Z
0x00430713 ?GrayCtlColor@CWnd@@SGHPAUHDC__@@PAUHWND__@@IPAUHBRUSH__@@K@Z
0x00430788 ?OnQuery3dControls@CWnd@@IAEJIJ@Z
0x00430790 ?UpdateData@CWnd@@QAEHH@Z
0x00430833 ??0CDataExchange@@QAE@PAVCWnd@@H@Z
0x00430849 ?CenterWindow@CWnd@@QAEXPAV1@@Z
0x004309C7 ?ExecuteDlgInit@CWnd@@QAEHPBD@Z
0x00430A17 ?ExecuteDlgInit@CWnd@@QAEHPAX@Z
0x00430AA1 ?UpdateDialogControls@CWnd@@QAEXPAVCCmdTarget@@H@Z
0x00430BA6 ?PreTranslateInput@CWnd@@QAEHPAUtagMSG@@@Z
0x00430BD6 ?RunModalLoop@CWnd@@QAEHK@Z
0x00430D35 ?ContinueModal@CWnd@@UAEHXZ
0x00430D3C ?EndModalLoop@CWnd@@UAEXH@Z
0x00430D60 ?AfxEndDeferRegisterClass@@YGHF@Z
0x00430EE2 ?IsTracking@CFrameWnd@@QBEHXZ
0x00430F01 ?SubclassWindow@CWnd@@QAEHPAUHWND__@@@Z
0x00430F44 ?OnAmbientProperty@CWnd@@UAEHPAVCOleControlSite@@JPAUtagVARIANT@@@Z
0x00430F5B ?GetDlgItem@CWnd@@QBEPAV1@H@Z
0x00430F85 ?SetDlgItemTextA@CWnd@@QAEXHPBD@Z
0x00430FB4 ?IsDialogMessageA@CWnd@@QAEHPAUtagMSG@@@Z
0x00430FE7 ?GetStyle@CWnd@@QBEKXZ
0x00431001 ?GetExStyle@CWnd@@QBEKXZ
0x0043101B ?ModifyStyle@CWnd@@QAEHKKI@Z
0x0043104F ?ModifyStyleEx@CWnd@@QAEHKKI@Z
0x00431083 ?SetWindowTextA@CWnd@@QAEXPBD@Z
0x004310AA ?GetWindowTextA@CWnd@@QBEHPADH@Z
0x004310D9 ?GetDlgCtrlID@CWnd@@QBEHXZ
0x004310F4 ?SetDlgCtrlID@CWnd@@QAEHH@Z
0x0043111D ?SetWindowPos@CWnd@@QAEHPBV1@HHHHI@Z
0x0043116C ?ShowWindow@CWnd@@QAEHH@Z
0x00431193 ?IsWindowEnabled@CWnd@@QBEHXZ
0x004311AE ?EnableWindow@CWnd@@QAEHH@Z
0x004311D5 ?SetFocus@CWnd@@QAEPAV1@XZ
0x004311F6 ?AttachControlSite@CWnd@@IAEXPAVCHandleMap@@@Z
0x00431226 ?AttachControlSite@CWnd@@QAEXPAV1@@Z
0x0043126B ??0CCmdTarget@@QAE@XZ
0x0043128B ??_GCCmdTarget@@UAEPAXI@Z
0x004312A7 ??1CCmdTarget@@UAE@XZ
0x004312E3 ?OnCmdMsg@CCmdTarget@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z
0x004313FB ?DispatchCmdMsg@@YAHPAVCCmdTarget@@IHP81@AEXXZPAXIPAUAFX_CMDHANDLERINFO@@@Z
0x0043152A ?EndOfStream@CBasePin@@UAGJXZ
0x0043153B ?GetTypeLib@CCmdTarget@@UAEJKPAPAUITypeLib@@@Z
0x00431543 ?BeginWaitCursor@CCmdTarget@@QAEXXZ
0x00431558 ?EndWaitCursor@CCmdTarget@@QAEXXZ
0x00431585 ?OnFinalRelease@CCmdTarget@@UAEXXZ
0x004315E2 ??0CCmdUI@@QAE@XZ
0x00431608 ?Enable@CCmdUI@@UAEXH@Z
0x00431698 ?SetCheck@CCmdUI@@UAEXH@Z
0x004316FA ?SetRadio@CCmdUI@@UAEXH@Z
0x0043174C ?SetText@CCmdUI@@UAEXPBD@Z
0x004317A2 ?DoUpdate@CCmdUI@@QAEHPAVCCmdTarget@@H@Z
0x0043180F ?IsKindOf@CObject@@QBEHPBUCRuntimeClass@@@Z
0x00431821 ?AfxDynamicDownCast@@YAPAVCObject@@PAUCRuntimeClass@@PAV1@@Z
0x00431841 ?CreateObject@CRuntimeClass@@QAEPAVCObject@@XZ
0x00431887 ??0AFX_CLASSINIT@@QAE@PAUCRuntimeClass@@@Z
0x004318B3 ?IsDerivedFrom@CRuntimeClass@@QBEHPBU1@@Z
0x004318D2 ??0CString@@QAE@XZ
0x004318E2 ??0CString@@QAE@ABV0@@Z
0x00431919 ?AllocBuffer@CString@@IAEXH@Z
0x00431953 ?Release@CString@@IAEXXZ
0x00431985 ?Release@CString@@KGXPAUCStringData@@@Z
0x004319A8 ?Empty@CString@@QAEXXZ
0x004319C6 ?CopyBeforeWrite@CString@@IAEXXZ
0x004319F4 ?AllocBeforeWrite@CString@@IAEXH@Z
0x00431A1D ??1CString@@QAE@XZ
0x00431A46 ?AllocCopy@CString@@IBEXAAV1@HHH@Z
0x00431A8B ??0CString@@QAE@PBD@Z
0x00431AE9 ?AssignCopy@CString@@IAEXHPBD@Z
0x00431B16 ??4CString@@QAEABV0@ABV0@@Z
0x00431B65 ??4CString@@QAEABV0@PBD@Z
0x00431B8C ?ConcatCopy@CString@@IAEXHPBDH0@Z
0x00431BCD ??H@YG?AVCString@@ABV0@0@Z
0x00431C33 ??H@YG?AVCString@@ABV0@PBD@Z
0x00431CA7 ?ConcatInPlace@CString@@IAEXHPBD@Z
0x00431D06 ??YCString@@QAEABV0@PBD@Z
0x00431D2D ??YCString@@QAEABV0@D@Z
0x00431D42 ??YCString@@QAEABV0@ABV0@@Z
0x00431D5A ?GetBuffer@CString@@QAEPADH@Z
0x00431DA9 ?ReleaseBuffer@CString@@QAEXH@Z
0x00431DD1 ?GetBufferSetLength@CString@@QAEPADH@Z
0x00431DF1 ?Find@CString@@QBEHD@Z
0x00431E12 ?FindOneOf@CString@@QBEHPBD@Z
0x00431E31 ?_mbstowcsz@@YAHPAGPBDI@Z
0x00431E66 ?AfxA2WHelper@@YGPAGPAGPBDH@Z
0x00431E8F ??0CFile@@QAE@XZ
0x00431ECF ??_GCFile@@UAEPAXI@Z
0x00431EEB ??0CFile@@QAE@H@Z
0x00431F2F ??1CFile@@UAE@XZ
0x00431F7D ?Duplicate@CFile@@UBEPAV1@XZ
0x0043200E ?Open@CFile@@UAEHPBDIPAVCFileException@@@Z
0x00432136 ?Read@CFile@@UAEIPAXI@Z
0x00432170 ?Write@CFile@@UAEXPBXI@Z
0x004321BB ?Seek@CFile@@UAEJJI@Z
0x004321EA ?GetPosition@CFile@@UBEKXZ
0x00432213 ?Flush@CFile@@UAEXXZ
0x00432234 ?Close@CFile@@UAEXXZ
0x00432275 ?Abort@CFile@@UAEXXZ
0x00432295 ?LockRange@CFile@@UAEXKK@Z
0x004322BE ?UnlockRange@CFile@@UAEXKK@Z
0x004322E7 ?SetLength@CFile@@UAEXK@Z
0x00432313 ?GetLength@CFile@@UBEKXZ
0x00432343 ?Rename@CFile@@SGXPBD0@Z
0x00432365 ?Remove@CFile@@SGXPBD@Z
0x00432383 ??1InitialThreadParam@UMSFreeVirtualProcessorRoot@details@Concurrency@@QAE@XZ
0x00432391 ?CreateInstance@AFX_COM@@QAEJABU_GUID@@PAUIUnknown@@0PAPAX@Z
0x004323D3 ?GetClassObject@AFX_COM@@QAEJABU_GUID@@0PAPAX@Z
0x0043249F ?AfxStringFromCLSID@@YG?AVCString@@ABU_GUID@@@Z
0x0043250E ?AfxGetInProcServer@@YGHPBDAAVCString@@@Z
0x004325BA ?AfxResolveShortcut@@YGHPAVCWnd@@PBDPADH@Z
0x00432704 ?AfxFullPath@@YGHPADPBD@Z
0x004327DD ?AfxGetRoot@@YGXPBDAAVCString@@@Z
0x004328A3 ?AfxComparePath@@YGHPBD0@Z
0x00432966 ?AfxGetFileTitle@@YGIPBDPADI@Z
0x004329BC ?AfxGetModuleShortFileName@@YGXPAUHINSTANCE__@@AAVCString@@@Z
0x00432A16 ??_GCStdioFile@@UAEPAXI@Z
0x00432A32 ??0CStdioFile@@QAE@PBDI@Z
0x00432ACF ??1CStdioFile@@UAE@XZ
0x00432B12 ?Open@CStdioFile@@UAEHPBDIPAVCFileException@@@Z
0x00432BF4 ?Read@CStdioFile@@UAEIPAXI@Z
0x00432C60 ?Write@CStdioFile@@UAEXPBXI@Z
0x00432C93 ?WriteString@CStdioFile@@UAEXPBD@Z
0x00432CBE ?ReadString@CStdioFile@@UAEPADPADI@Z
0x00432D03 ?ReadString@CStdioFile@@UAEHAAVCString@@@Z
0x00432DCA ?Seek@CStdioFile@@UAEJJI@Z
0x00432E02 ?GetPosition@CStdioFile@@UBEKXZ
0x00432E2C ?Flush@CStdioFile@@UAEXXZ
0x00432E54 ?Close@CStdioFile@@UAEXXZ
0x00432E8A ?Abort@CStdioFile@@UAEXXZ
0x00432EC7 ?GetFileName@CFile@@UBE?AVCString@@XZ
0x00432F49 ?GetFileTitle@CFile@@UBE?AVCString@@XZ
0x00432FCB ?GetFilePath@CFile@@UBE?AVCString@@XZ
0x00432FFA ?GetStatus@CFile@@QBEHAAUCFileStatus@@@Z
0x004330D4 ?GetStatus@CFile@@SGHPBDAAUCFileStatus@@@Z
0x00433186 ?AfxTimeToFileTime@@YAXABVCTime@@PAU_FILETIME@@@Z
0x00433235 ?LoadStringA@CString@@QAEHI@Z
0x004332B9 ?AfxLoadString@@YGHIPADI@Z
0x004332E0 ?AfxExtractSubString@@YGHAAVCString@@PBDHD@Z
0x00433358 ?DeleteTempMap@CMenu@@SGXXZ
0x0043336C ?afxMapHMENU@@YAPAVCHandleMap@@H@Z
0x004333DC ?FromHandle@CMenu@@SGPAV1@PAUHMENU__@@@Z
0x004333F2 ?FromHandlePermanent@CMenu@@SGPAV1@PAUHMENU__@@@Z
0x0043340E ?Attach@CMenu@@QAEHPAUHMENU__@@@Z
0x0043343B ?Detach@CMenu@@QAEPAUHMENU__@@XZ
0x00433465 ?DestroyMenu@CMenu@@QAEHXZ
0x00433487 ?Run@CWinApp@@UAEHXZ
0x004334A9 ?WinHelpA@CWinApp@@UAEXKI@Z
0x004334E0 ?ProcessWndProcException@CWinApp@@UAEJPAVCException@@PBUtagMSG@@@Z
0x00433557 ?OnIdle@CWinApp@@UAEHJ@Z
0x004335BD ?DevModeChange@CWinApp@@QAEXPAD@Z
0x0043366A ?AfxGetThread@@YGPAVCWinThread@@XZ
0x0043367F ?AfxInitThread@@YGXXZ
0x004336DE ?Delete@CWinThread@@UAEXXZ
0x004336F3 ?Run@CWinThread@@UAEHXZ
0x00433777 ?IsIdleMessage@CWinThread@@UAEHPAUtagMSG@@@Z
0x004337D6 ?OnIdle@CWinThread@@UAEHJ@Z
0x004338E1 ?DispatchThreadMessageEx@CWinThread@@IAEHPAUtagMSG@@@Z
0x0043395A ?PreTranslateMessage@CWinThread@@UAEHPAUtagMSG@@@Z
0x00433A64 ?_AfxMsgFilterHook@@YGJHIJ@Z
0x00433ABC ?ProcessMessageFilter@CWinThread@@UAEHHPAUtagMSG@@@Z
0x00433C03 ?IsHelpKey@@YGHPAUtagMSG@@@Z
0x00433C4E ?GetMainWnd@CWinThread@@UAEPAVCWnd@@XZ
0x00433C69 ?PumpMessage@CWinThread@@UAEHXZ
0x00433CA9 ??0CException@@QAE@XZ
0x00433CB9 ??0facet@locale@std@@IAE@I@Z
0x00433CCB ?Delete@CException@@QAEXXZ
0x00433CFE ?ReportError@CException@@UAEHII@Z
0x00433D53 ?AfxLockTempMaps@@YGXXZ
0x00433D5C ?AfxUnlockTempMaps@@YGHH@Z
0x00433E4A ??0CHandleMap@@QAE@PAUCRuntimeClass@@IH@Z
0x00433EA6 ?FromHandle@CHandleMap@@QAEPAVCObject@@PAX@Z
0x00433F81 ?DeleteTemp@CHandleMap@@QAEXXZ
0x00433FE2 ??0CDialogTemplate@@QAE@PBUDLGTEMPLATE@@@Z
0x00434011 ?SetTemplate@CDialogTemplate@@IAEHPBUDLGTEMPLATE@@I@Z
0x00434071 ??1InitialThreadParam@UMSFreeVirtualProcessorRoot@details@Concurrency@@QAE@XZ_0
0x0043407F ?Detach@?$CComPtrBase@UICustomDestinationList@@@ATL@@QAEPAUICustomDestinationList@@XZ
0x00434085 ?GetFontSizeField@CDialogTemplate@@KAPAEPBUDLGTEMPLATE@@@Z
0x004340DB ?GetTemplateSize@CDialogTemplate@@KAIPBUDLGTEMPLATE@@@Z
0x00434192 ?GetFont@CDialogTemplate@@SAHPBUDLGTEMPLATE@@AAVCString@@AAG@Z
0x00434201 ?SetFont@CDialogTemplate@@QAEHPBDG@Z
0x00434318 ?SetSystemFont@CDialogTemplate@@QAEHG@Z
0x004343A9 ?UpdateSysColors@AUX_DATA@@QAEXXZ
0x004343ED ?UpdateSysMetrics@AUX_DATA@@QAEXXZ
0x00434445 ?ThrowOsError@CFileException@@SGXJPBG@Z
0x00434466 ?GetErrorMessage@CFileException@@UAEHPADIPAI@Z
0x00434506 ?AfxThrowFileException@@YGXHJPBD@Z
0x00434587 ?OsErrorToException@CFileException@@SGHJ@Z
0x004347BC ??0CRecentFileList@@QAE@IPBD0HH@Z
0x00434878 ??_GCRecentFileList@@UAEPAXI@Z
0x00434894 ??_ECString@@QAEPAXI@Z
0x004348D0 ??1CRecentFileList@@UAE@XZ
0x0043492D ?Add@CRecentFileList@@UAEXPBD@Z
0x00434999 ?Remove@CRecentFileList@@UAEXH@Z
0x004349D4 ?GetDisplayName@CRecentFileList@@QBEHAAVCString@@HPBDHH@Z
0x00434ADD ?UpdateMenu@CRecentFileList@@UAEXPAVCCmdUI@@@Z
0x00434D27 ?WriteList@CRecentFileList@@UAEXXZ
0x00434DA5 ?ReadList@CRecentFileList@@UAEXXZ
0x00434E41 ?AbbreviateName@@YAXPADHH@Z
0x00434F83 ??0CDC@@QAE@XZ
0x00434F97 ??_GCDC@@UAEPAXI@Z
0x00434FB3 ?DeleteTempMap@CDC@@SGXXZ
0x00434FC7 ?afxMapHDC@@YAPAVCHandleMap@@H@Z
0x00435037 ?FromHandle@CDC@@SGPAV1@PAUHDC__@@@Z
0x0043504D ?Attach@CDC@@QAEHPAUHDC__@@@Z
0x00435084 ?Detach@CDC@@QAEPAUHDC__@@XZ
0x004350B5 ??1CDC@@UAE@XZ
0x004350F5 ?SetAttribDC@CDC@@UAEXPAUHDC__@@@Z
0x004350FF ?SetOutputDC@CDC@@UAEXPAUHDC__@@@Z
0x00435109 ?ReleaseAttribDC@CDC@@UAEXXZ
0x0043510E ?Clear@TaskStack@details@Concurrency@@QAEXXZ
0x00435113 ?SaveDC@CDC@@UAEHXZ
0x0043514A ?RestoreDC@CDC@@UAEHH@Z
0x00435188 ?SelectGdiObject@CDC@@KGPAVCGdiObject@@PAUHDC__@@PAX@Z
0x0043519F ?SelectStockObject@CDC@@UAEPAVCGdiObject@@H@Z
0x004352DD ?SelectPalette@CDC@@QAEPAVCPalette@@PAV2@H@Z
0x004352FF ?SetBkColor@CDC@@UAEKK@Z
0x00435337 ?SetBkMode@CDC@@QAEHH@Z
0x0043536F ?SetPolyFillMode@CDC@@QAEHH@Z
0x004353A7 ?SetROP2@CDC@@QAEHH@Z
0x004353DF ?SetStretchBltMode@CDC@@QAEHH@Z
0x00435417 ?SetTextColor@CDC@@UAEKK@Z
0x0043544F ?SetMapMode@CDC@@UAEHH@Z
0x00435487 ?SetViewportOrg@CDC@@UAE?AVCPoint@@HH@Z
0x004354D3 ?OffsetViewportOrg@CDC@@UAE?AVCPoint@@HH@Z
0x0043551F ?SetViewportExt@CDC@@UAE?AVCSize@@HH@Z
0x0043556B ?ScaleViewportExt@CDC@@UAE?AVCSize@@HHHH@Z
