# 1629 FLIRT/identified names (VC6/MFC42/std)
0x004159D0 ?DestroyToolTipCtrl@CToolTipCtrl@@QAEHXZ
0x004159EA ?OnAddTool@CToolTipCtrl@@IAEJIJ@Z
0x00415A5E ?OnDisableModal@CToolTipCtrl@@IAEJIJ@Z
0x00415A75 ?OnWindowFromPoint@CToolTipCtrl@@IAEJIJ@Z
0x00415AE8 ?EnableToolTips@CWnd@@QAEHH@Z
0x00415B8A ?_FilterToolTipMessage@CWnd@@SGXPAUtagMSG@@PAV1@@Z
0x00415B9A ?FilterToolTipMessage@CWnd@@QAEXPAUtagMSG@@@Z
0x00415E94 ?RelayToolTipMessage@@YGXPAVCToolTipCtrl@@PAUtagMSG@@@Z
0x00415F20 ??1type_info@@UAE@XZ
0x00415F50 ??_Gtype_info@@UAEPAXI@Z
0x00415F70 ??8type_info@@QBEHABV0@@Z
0x00415FD0 ?_JumpToContinuation@@YGXPAXPAUEHRegistrationNode@@@Z
0x00416020 ?_UnwindNestedFrames@@YGXPAUEHRegistrationNode@@PAUEHExceptionRecord@@@Z
0x00416080 ___CxxFrameHandler
0x004160C0 ?_CallCatchBlock2@@YAPAXPAUEHRegistrationNode@@PBU_s_FuncInfo@@PAXHK@Z
0x00416120 ?CatchGuardHandler@@YA?AW4_EXCEPTION_DISPOSITION@@PAUEHExceptionRecord@@PAUCatchGuardRN@@PAX2@Z
0x00416150 ?_CallSETranslator@@YAHPAUEHExceptionRecord@@PAUEHRegistrationNode@@PAX2PBU_s_FuncInfo@@H1@Z
0x00416220 ?TranslatorGuardHandler@@YA?AW4_EXCEPTION_DISPOSITION@@PAUEHExceptionRecord@@PAUTranslatorGuardRN@@PAX2@Z
0x004162B0 ?_GetRangeOfTrysToCheck@@YAPBU_s_TryBlockMapEntry@@PBU_s_FuncInfo@@HHPAI1@Z
0x00416330 __global_unwind2
0x00416350 __unwind_handler
0x00416372 __local_unwind2
0x004163DA __abnormal_termination
0x004163FD __NLG_Notify1
0x00416406 __NLG_Notify
0x00416420 __mbscmp
0x00416520 _sprintf
0x00416590 __purecall
0x004165A0 _strncpy
0x004166A0 _clock
0x00416700 _xtoa
0x00416770 __ltoa
0x004167C0 _sscanf
0x00416810 _strtok
0x00416900 __fsopen
0x00416940 _fopen
0x00416960 _fclose
0x004169A0 __fclose_lk
0x00416A50 _fwrite
0x00416BA0 _atol
0x00416C40 _atoi
0x00416C50 _strstr
0x00416CD0 __onexit
0x00416D60 _atexit
0x00416D80 ___onexitinit
0x00416DC0 __CxxThrowException@8
0x00416E10 ??_M@YGXPAXIHP6EX0@Z@Z
0x00416EC0 ?__ArrayUnwind@@YGXPAXIHP6EX0@Z@Z
0x00416F30 ??_L@YGXPAXIHP6EX0@Z1@Z
0x00416FD0 _strncmp
0x00417010 _free
0x00417080 _localtime
0x00417270 _time
0x004173A0 __strdup
0x00417400 _strchr
0x004174C0 _isdigit
0x004174F0 _isxdigit
0x00417520 _isspace
0x00417550 _strncat
0x00417680 __mbsicmp
0x00417810 _srand
0x00417820 _rand
0x00417850 _mktime
0x00417860 __make_time_t
0x00417AA0 ??0__non_rtti_object@@QAE@PBD@Z
0x00417AD0 ??_Gexception@@UAEPAXI@Z
0x00417AF0 ??0__non_rtti_object@@QAE@ABV0@@Z
0x00417B10 ??0bad_typeid@@QAE@ABV0@@Z
0x00417B40 ___RTtypeid
0x00417C40 ??0bad_typeid@@QAE@PBD@Z
0x00417C60 start
0x00417E10 __amsg_exit
0x00417E40 _malloc
0x00417E60 __nh_malloc
0x00417EB0 __heap_alloc
0x00417F10 __EH_prolog
0x00417F30 _memset
0x00417F90 _memcmp
0x00418040 _abs
0x00418050 _memcpy
0x00418390 _memcpy_0
0x004186D0 _wcslen
0x004186F0 __mbschr
0x004187C0 __mbspbrk
0x00418870 __mbscspn
0x00418920 __mbsrchr
0x004189B0 __mbsstr
0x00418A50 _vsprintf
0x00418AC0 __mbclen
0x00418AE0 __ismbcdigit
0x00418B80 __mbsinc
0x00418BA0 __ismbcspace
0x00418C40 __alloca_probe
0x00418C70 __alloc_osfhnd
0x00418DE0 __set_osfhnd
0x00418E90 __free_osfhnd
0x00418F30 __get_osfhandle
0x00418F80 __open_osfhandle
0x00419030 __lock_fhandle
0x004190A0 __unlock_fhandle
0x004190D0 __dosmaperr
0x00419150 __errno
0x00419160 ___doserrno
0x00419170 __fdopen
0x00419300 _clearerr
0x004193A0 _fread
0x004194E0 _fputs
0x00419540 _fgets
0x004195D0 _ftell
0x00419600 __ftell_lk
0x004197B0 _fseek
